,open_time,open_price,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date_open
95,1680661500000,28647.37000000,28652.46000000,28628.08000000,28642.40000000,143.64323000,1680661799999,4113762.43856370,2827,56.58335000,1620499.28350600,0,2023-04-05 02:25:00
96,1680661800000,28642.41000000,28666.05000000,28621.72000000,28643.19000000,172.99298000,1680662099999,4955277.44152630,3694,73.36041000,2101392.97116110,0,2023-04-05 02:30:00
97,1680662100000,28643.18000000,28775.00000000,28636.92000000,28643.46000000,674.68907000,1680662399999,19360142.15564800,10912,419.69474000,12042045.83962180,0,2023-04-05 02:35:00
98,1680662400000,28643.46000000,28657.07000000,28549.85000000,28562.47000000,407.06913000,1680662699999,11640542.72885530,7337,125.57142000,3590969.03936440,0,2023-04-05 02:40:00
99,1680662700000,28562.46000000,28607.94000000,28544.33000000,28581.87000000,267.98224000,1680662999999,7657191.30219550,5121,121.10455000,3460073.43934300,0,2023-04-05 02:45:00
100,1680663000000,28581.86000000,28600.15000000,28522.99000000,28529.56000000,190.49425000,1680663299999,5441319.24286940,4135,80.19922000,2290841.92210720,0,2023-04-05 02:50:00
101,1680663300000,28529.56000000,28565.58000000,28524.00000000,28565.57000000,142.86472000,1680663599999,4077864.88810940,2986,68.18731000,1946437.33440800,0,2023-04-05 02:55:00
102,1680663600000,28565.58000000,28575.79000000,28535.01000000,28538.40000000,134.79576000,1680663899999,3848750.00023610,2756,42.80234000,1222081.03606550,0,2023-04-05 03:00:00
103,1680663900000,28538.39000000,28548.23000000,28483.00000000,28485.48000000,295.58956000,1680664199999,8428418.63096020,4779,75.81920000,2162411.16279080,0,2023-04-05 03:05:00
104,1680664200000,28485.48000000,28519.89000000,28479.72000000,28479.98000000,173.02916000,1680664499999,4931829.79667920,3753,74.48294000,2123141.14164600,0,2023-04-05 03:10:00
105,1680664500000,28479.97000000,28496.57000000,28464.27000000,28464.27000000,129.89485000,1680664799999,3699744.08495620,3308,44.57752000,1269767.88024230,0,2023-04-05 03:15:00
106,1680664800000,28464.28000000,28498.80000000,28452.54000000,28484.61000000,156.07547000,1680665099999,4445332.17191240,3220,94.92335000,2703687.89689380,0,2023-04-05 03:20:00
107,1680665100000,28484.60000000,28484.61000000,28428.69000000,28447.71000000,286.33620000,1680665399999,8148165.28005890,4383,79.35617000,2258137.77233030,0,2023-04-05 03:25:00
108,1680665400000,28447.71000000,28457.69000000,28435.71000000,28450.00000000,166.60705000,1680665699999,4739463.69957190,3725,63.56190000,1808147.64955750,0,2023-04-05 03:30:00
109,1680665700000,28449.99000000,28490.68000000,28440.54000000,28490.67000000,214.12737000,1680665999999,6095614.30883580,4576,138.79866000,3951177.58942250,0,2023-04-05 03:35:00
110,1680666000000,28490.67000000,28517.25000000,28487.36000000,28500.00000000,128.07552000,1680666299999,3650695.33726850,4396,63.56135000,1811653.17275040,0,2023-04-05 03:40:00
111,1680666300000,28499.99000000,28520.00000000,28499.99000000,28519.99000000,99.54257000,1680666599999,2838178.82046180,2373,70.94640000,2022816.54418540,0,2023-04-05 03:45:00
112,1680666600000,28520.00000000,28545.06000000,28513.34000000,28514.53000000,152.75109000,1680666899999,4357599.79914280,2980,79.64026000,2271930.68889220,0,2023-04-05 03:50:00
113,1680666900000,28514.52000000,28548.58000000,28502.55000000,28544.72000000,119.08502000,1680667199999,3396638.15378120,2588,68.84740000,1963804.65876310,0,2023-04-05 03:55:00
114,1680667200000,28544.73000000,28576.20000000,28543.20000000,28550.35000000,220.90488000,1680667499999,6309506.53472200,4362,125.78121000,3592451.05464310,0,2023-04-05 04:00:00
115,1680667500000,28550.35000000,28577.05000000,28549.57000000,28577.05000000,142.36667000,1680667799999,4066132.39563440,2819,89.11530000,2545194.64034270,0,2023-04-05 04:05:00
116,1680667800000,28577.05000000,28577.38000000,28508.85000000,28508.85000000,145.28515000,1680668099999,4147542.24019670,2722,40.94092000,1168999.85216160,0,2023-04-05 04:10:00
117,1680668100000,28508.85000000,28532.75000000,28508.85000000,28531.69000000,107.23625000,1680668399999,3058453.81198140,2065,73.96097000,2109402.37107020,0,2023-04-05 04:15:00
118,1680668400000,28531.70000000,28563.04000000,28530.00000000,28540.81000000,73.53198000,1680668699999,2098748.84516380,2170,39.10886000,1116172.53033600,0,2023-04-05 04:20:00
119,1680668700000,28540.81000000,28573.94000000,28522.94000000,28539.43000000,100.84522000,1680668999999,2878618.97546420,2752,51.06549000,1457498.38747190,0,2023-04-05 04:25:00
120,1680669000000,28539.42000000,28556.99000000,28522.41000000,28525.19000000,94.95486000,1680669299999,2710096.23205950,2422,33.57976000,958413.39847480,0,2023-04-05 04:30:00
121,1680669300000,28525.19000000,28527.75000000,28523.00000000,28523.22000000,47.19756000,1680669599999,1346309.29898370,1497,23.66095000,674928.22720780,0,2023-04-05 04:35:00
122,1680669600000,28523.22000000,28531.68000000,28521.20000000,28523.05000000,58.92862000,1680669899999,1681069.66732660,1860,28.57318000,815076.85625690,0,2023-04-05 04:40:00
123,1680669900000,28523.06000000,28528.26000000,28523.05000000,28527.69000000,40.50163000,1680670199999,1155375.11694070,1487,22.57291000,643924.10902970,0,2023-04-05 04:45:00
124,1680670200000,28527.69000000,28527.69000000,28490.24000000,28490.25000000,110.38388000,1680670499999,3146831.18361840,2895,36.90176000,1051942.46224830,0,2023-04-05 04:50:00
125,1680670500000,28490.25000000,28506.79000000,28483.09000000,28506.62000000,93.67617000,1680670799999,2669848.92997110,2676,54.29879000,1547513.29424780,0,2023-04-05 04:55:00
126,1680670800000,28506.61000000,28506.78000000,28480.67000000,28485.50000000,96.01607000,1680671099999,2735612.14802890,2317,34.26071000,976188.36758390,0,2023-04-05 05:00:00
127,1680671100000,28485.50000000,28506.78000000,28485.46000000,28506.77000000,82.25942000,1680671399999,2343745.85488060,1746,44.72511000,1274412.96281220,0,2023-04-05 05:05:00
128,1680671400000,28506.78000000,28536.31000000,28506.77000000,28536.31000000,139.85851000,1680671699999,3989487.92963690,2178,89.69770000,2558456.22511280,0,2023-04-05 05:10:00
129,1680671700000,28536.30000000,28571.46000000,28536.30000000,28571.45000000,164.74651000,1680671999999,4704124.14345010,3824,91.16027000,2602916.62799790,0,2023-04-05 05:15:00
130,1680672000000,28571.46000000,28579.99000000,28563.16000000,28577.50000000,113.06439000,1680672299999,3230056.74697240,2922,60.89026000,1739493.80542120,0,2023-04-05 05:20:00
131,1680672300000,28577.49000000,28619.76000000,28574.86000000,28588.14000000,237.71839000,1680672599999,6798119.01956400,4651,160.18314000,4580682.16380800,0,2023-04-05 05:25:00
132,1680672600000,28588.13000000,28624.35000000,28549.30000000,28552.16000000,197.39566000,1680672899999,5642862.59483550,4193,97.44826000,2785367.49691680,0,2023-04-05 05:30:00
133,1680672900000,28552.16000000,28563.00000000,28550.72000000,28557.64000000,113.00062000,1680673199999,3227043.38771300,2051,36.86709000,1052827.96433730,0,2023-04-05 05:35:00
134,1680673200000,28557.64000000,28595.02000000,28546.27000000,28550.54000000,117.06275000,1680673499999,3343812.87021500,3034,47.54904000,1358208.37338470,0,2023-04-05 05:40:00
135,1680673500000,28550.55000000,28561.30000000,28537.79000000,28561.29000000,126.85987000,1680673799999,3621735.04245540,2600,68.21575000,1947497.30791560,0,2023-04-05 05:45:00
136,1680673800000,28561.30000000,28563.53000000,28553.57000000,28560.14000000,67.04820000,1680674099999,1914880.11789160,1766,34.28455000,979145.55220430,0,2023-04-05 05:50:00
137,1680674100000,28560.14000000,28587.98000000,28559.34000000,28582.84000000,97.87430000,1680674399999,2796313.54041220,2289,57.63127000,1646516.35079500,0,2023-04-05 05:55:00
138,1680674400000,28582.84000000,28603.59000000,28571.88000000,28572.85000000,157.29243000,1680674699999,4496507.13165850,3231,76.86561000,2197532.24627140,0,2023-04-05 06:00:00
139,1680674700000,28572.85000000,28573.55000000,28568.80000000,28568.81000000,60.12459000,1680674999999,1717813.69058180,1809,23.30835000,665934.22247040,0,2023-04-05 06:05:00
140,1680675000000,28568.80000000,28570.00000000,28561.43000000,28566.73000000,145.97055000,1680675299999,4169630.27245430,2282,72.51416000,2071295.64874180,0,2023-04-05 06:10:00
141,1680675300000,28566.73000000,28566.73000000,28537.31000000,28564.07000000,111.18697000,1680675599999,3174626.89175140,2647,56.07732000,1601124.02215440,0,2023-04-05 06:15:00
142,1680675600000,28564.06000000,28580.00000000,28564.06000000,28579.99000000,71.04158000,1680675899999,2030001.97598840,1973,34.97253000,999288.74114160,0,2023-04-05 06:20:00
143,1680675900000,28579.99000000,28582.79000000,28554.69000000,28556.06000000,100.37348000,1680676199999,2867713.99785290,2223,38.43329000,1098110.73844900,0,2023-04-05 06:25:00
144,1680676200000,28556.05000000,28559.20000000,28541.21000000,28546.79000000,97.05339000,1680676499999,2770982.69193630,2387,42.92833000,1225643.00104320,0,2023-04-05 06:30:00
145,1680676500000,28546.78000000,28550.39000000,28540.62000000,28540.63000000,78.13329000,1680676799999,2230478.15168830,2319,37.47301000,1069759.68342140,0,2023-04-05 06:35:00
146,1680676800000,28540.63000000,28540.63000000,28493.97000000,28506.69000000,199.25440000,1680677099999,5681116.45288060,4202,89.52863000,2552452.84779020,0,2023-04-05 06:40:00
147,1680677100000,28506.69000000,28520.65000000,28491.29000000,28520.64000000,181.46058000,1680677399999,5172087.54904710,2757,106.15671000,3025738.72820800,0,2023-04-05 06:45:00
148,1680677400000,28520.64000000,28537.93000000,28520.64000000,28531.88000000,79.94414000,1680677699999,2280623.50988120,1719,48.96687000,1396892.80454480,0,2023-04-05 06:50:00
149,1680677700000,28531.89000000,28534.50000000,28516.05000000,28534.42000000,100.56579000,1680677999999,2868466.73155430,2208,54.73405000,1561137.47635260,0,2023-04-05 06:55:00
150,1680678000000,28534.43000000,28534.43000000,28521.09000000,28530.00000000,85.26574000,1680678299999,2432474.86241630,2452,47.83714000,1364672.73088000,0,2023-04-05 07:00:00
151,1680678300000,28529.99000000,28540.00000000,28529.99000000,28530.35000000,84.77516000,1680678599999,2419033.26948530,2370,44.75880000,1277141.50028220,0,2023-04-05 07:05:00
152,1680678600000,28530.34000000,28540.00000000,28505.70000000,28513.47000000,131.47243000,1680678899999,3750898.15082570,2607,48.05610000,1371034.10734220,0,2023-04-05 07:10:00
153,1680678900000,28513.47000000,28513.48000000,28481.30000000,28481.32000000,111.10658000,1680679199999,3166877.99893520,2732,45.91202000,1308658.87261330,0,2023-04-05 07:15:00
154,1680679200000,28481.32000000,28498.59000000,28455.00000000,28477.04000000,207.03555000,1680679499999,5896566.03138910,4397,86.19555000,2454903.03844030,0,2023-04-05 07:20:00
155,1680679500000,28477.04000000,28485.99000000,28461.42000000,28485.98000000,100.26770000,1680679799999,2854957.99747300,2618,50.87927000,1448661.21452930,0,2023-04-05 07:25:00
156,1680679800000,28485.98000000,28505.00000000,28462.27000000,28503.74000000,179.21144000,1680680099999,5105518.70139440,3266,88.74330000,2527988.41616540,0,2023-04-05 07:30:00
